acc_type,words,count
gov,april,1
gov,area,1
gov,block,1
gov,clean,1
gov,detect,1
gov,end,1
gov,environmental,1
gov,establishment,1
gov,facility,1
gov,food,1
gov,fse,1
gov,gallon,1
gov,grease,1
gov,line,1
gov,maintain,1
gov,mining,1
gov,nasty,1
gov,overflow,1
gov,phosphate,1
gov,phosphogypsum,1
gov,piney,1
gov,point,1
gov,problem,1
gov,service,1
gov,sewer,1
gov,stack,1
gov,trap,1
