acc_type,words,count
acad,amp,1
acad,area,2
acad,aware,1
acad,breakingnews,1
acad,danger,1
acad,deal,1
acad,dredge,1
acad,evaluate,1
acad,fine,1
acad,flapol,1
acad,fuher,1
acad,governor,1
acad,hey,1
acad,idea,1
acad,investigate,1
acad,level,1
acad,mildly,1
acad,month,1
acad,municipality,1
acad,people,1
acad,pose,1
acad,project,1
acad,radioactive,1
acad,radioactivity,1
acad,runoff,1
acad,saltwater,1
acad,sho,1
acad,surround,1
acad,talk,1
acad,term,1
acad,time,1
acad,water,2
